id;Pocket;Table;Turn;River
1349;jd6d;qs2h4h;3h;3s
1350;ac7c;3h6s3c;8c;2d
1351;6cjc;2d8cjh;7h;jd
1363;6d4d;5c2c9h;th;qd
1366;ad6d;8h5h7s;jh;as
1378;7s5s;as7h9d;ts;2c
1382;ad5d;9d7d9c;;
1385;9dad;7s3sjs;9h;8d
1386;kcac;qcth6h;;
1398;6h7h;qsqckd;as;2h
1399;7hjh;7dkc7s;3s;5s
1400;2h4h;6d8c3d;td;
1401;js8s;6dtc5h;;
1414;7djd;2cks5c;ad;8c
1419;jd7d;js3sjc;ad;
1420;ts8s;as9c4h;kc;7d
1424;7sjs;3cac3d;3h;ah
1426;kh3h;4c2cks;6h;
1427;4s8s;5std9s;2c;th
1430;as9s;5sadqs;2c;jh
1432;5d8d;th4d7h;5c;3h
1438;qs5s;th8s4s;4d;7s
1447;kh8h;6htcqs;;
1455;ah7h;4d9d8h;3c;6c
1457;qc7c;jsqs2c;3h;4s
1462;qh4h;6dkhah;7h;5h
1474;4d7d;8djcjs;3h;3s
1481;9c3c;7c2s5s;8d;ah
1490;thkh;;;
1493;js8s;ts4c3c;;
1494;2c4c;2has2d;4h;9d
1503;3h4h;acjd6h;;
1511;4c5c;adjsac;2c;ks
1521;3c6c;9dtc5c;ts;7h
1523;5s7s;2c9c5h;ks;5c
1525;9h7h;kskh9s;kc;jd
1531;8djd;5s9s7d;3h;ts
1535;ah6h;2cad6c;3h;
1539;ah4h;adqc8h;7s;2c
1545;qc7c;3dac6c;2d;
1556;7d5d;kdts2c;js;qc
1564;8dad;kc2has;ac;7d
1566;ac7c;5c5h4h;qd;ks
1570;kh9h;kc6sjc;td;qc
1576;qh9h;ts2h5c;6c;2d
1584;qh3h;7h6c2d;9d;4d
1592;asjs;ts5h3s;8s;2c
1594;qcac;5d6hks;ah;jc
1622;9d3d;;;
1624;jdad;;;
1628;jdkd;;;
1634;7ckc;;;
1638;as6s;;;
1644;9c8c;as9d3d;qs;
1653;9c4c;6cjd2h;4d;
1656;asts;8cqhqc;qd;
1662;2d7d;;;
1666;qc4c;js4sts;5s;
1672;4d9d;7s3c5d;th;2d
1674;8s3s;8hqs5s;5d;9h
1683;qs8s;8hqdjc;tc;
1688;khjh;6skskc;7d;8h
1696;3hth;7has5s;;
1697;2c4c;ad3s6d;5c;6h
1706;qh7h;jc3h4d;js;kh
1708;8cqc;qs7c7s;as;4h
1711;qc8c;5h8h4s;9d;
1712;qc4c;2hjhtd;4s;js
1713;7s5s;3s5d7c;kh;4s
1714;qs3s;jcjhqc;6d;
1718;qsas;6d8h4d;7s;9s
1730;kd8d;;;
1738;thah;8cad3h;5d;jd
1746;5dad;;;
1759;8sks;2s9s8d;8c;
1765;2cjc;tc9s6d;2s;5s
1770;7dad;8skdjc;as;ks
1772;ts9s;jd2hqs;8h;
1794;9s2s;6cts7h;jh;7s
1802;5ckc;ts9sah;4s;7h
1812;3h4h;9cqc3s;ah;kh
1822;kh4h;7s7dks;qs;2s
1834;3h7h;8s6hqh;tc;2d
1840;4h8h;qdah2h;9h;
1850;5ckc;3hqd7d;6d;3d
1854;qsas;jstd9c;ad;ah
1860;qdtd;4d3dah;;
1890;kcjc;3s5h2d;8c;jd
1901;th7h;;;
1902;qsts;tckc2h;ac;7d
1907;jh8h;js2h7h;2c;qh
1926;3h7h;thah7s;9s;qc
1928;thqh;qd6s4s;ad;
1944;2hqh;6d7cqc;;
1946;kc4c;3s6cts;;
1947;4dqd;5d2dtd;6s;js
1966;2d3d;;;
1969;7h4h;6hjh3c;qc;jc
1982;8c3c;;;
1996;js4s;ad9hks;;
2000;3h8h;;;
2010;ts9s;;;
2021;8c3c;2c4dtc;5s;
2039;jd2d;;;
2042;9hth;;;
2046;tc3c;2dqd3s;kc;2s
2074;2d4d;qsahkh;9d;
2078;3h2h;9dah8s;kd;6d
2083;ad2d;4hthtc;as;8s
2096;jd9d;acqh3c;as;3h
2111;2sjs;kh5h8c;8d;8h
2129;7ctc;jsqsts;qd;
2130;4ckc;8h7hkd;2s;7s
2134;9c7c;8hac5h;kd;ks
2136;jh3h;;;
2148;2ctc;3sjc2s;9c;kc
2149;7sqs;ts4ctd;2c;ad
2155;9cac;7had3s;4d;2c
2170;jdtd;3c2hqc;7s;qs
2179;qhth;jckh3d;kc;4d
2186;jdkd;;;
2189;4d3d;5d7ckc;ks;
2196;js2s;qsthad;;
2217;7s5s;3htc6d;9d;9h
2232;ksts;3sas8d;kh;ah
2238;2hth;7c4s6d;;
2239;kd5d;td5c2h;jc;8d
2244;7d6d;;;
2254;asts;;;
2260;5sks;2h7cqh;jh;qd
2261;8hah;ac6d2d;ts;
2270;6sqs;;;
2272;6d9d;;;
2289;2cjc;9h9c7c;7h;5d
2298;9h7h;3h6h2c;3d;7d
2324;9dqd;6s3hjd;;
2326;4hqh;;;
2327;jd7d;js6h2c;8h;
2336;td2d;;;
2339;kc6c;kdac8h;9d;7d
2340;6c7c;;;
2344;2ctc;qc3c7s;kd;8s
2349;2c4c;tdtsac;kh;qd
2351;4h9h;9sqh2c;th;8d
2368;3d7d;;;
2372;kd6d;;;
2376;4d2d;;;
2398;9s2s;;;
2408;kctc;;;
2418;9s2s;6h3hah;;
2426;6s8s;;;
2432;6hah;ac7djc;5c;
2441;4h8h;ac8c8s;2h;
2448;9s2s;7c2ctc;4c;8c
2468;5sqs;5ckh4d;;
2472;qs4s;;;
2476;kdtd;;;
2478;2s4s;adtdqs;th;4c
2480;5s6s;td9h4d;kh;
2482;kd6d;tctd4h;;
2484;2s4s;;;
2487;2sts;2c6hks;6d;8c
2488;ac4c;;;
2492;9s8s;2c8h5c;jc;4s
2500;2h5h;;;
2505;9cjc;7c2cth;ad;js
2507;th9h;kh3h7d;4d;jc
2508;ac7c;qsth7s;kd;4h
2510;kd6d;js2d6s;tc;3s
2515;9cqc;7dthjc;7s;qh
2534;2s3s;;;
2540;4c6c;;;
2542;kd9d;4c2std;js;
2544;5s4s;;;
2550;3h4h;6h6cjd;3d;5s
2582;3s6s;3dth2d;9d;td
2607;jcqc;;;
2611;6s2s;;;
2623;tc4c;th9sas;3h;ks
2626;7c5c;jdqsah;6s;9s
2635;9cac;;;
2640;tcac;;;
2647;3s6s;;;
2649;kctc;jdkhqc;;
2657;9dad;kd5d6c;7d;
2662;js3s;6casjh;qd;qc
2665;qdkd;;;
2669;2sjs;;;
2679;6sts;5h5dqd;2s;kh
2691;2s8s;;;
2697;8s3s;;;
2712;6c4c;kd2d3h;ks;6d
2720;4h7h;4skc5c;ts;2d
2722;2dqd;kd6s5s;qs;
2728;2s4s;;;
2732;2s8s;9ctcqh;7s;
2734;3hkh;ksqd7d;kd;
2742;asts;6hks9h;jc;3d
2746;qhjh;;;
2752;6djd;7hqd8c;9c;
2760;5hqh;;;
2762;2s5s;;;
2764;qc4c;;;
2774;2hqh;;;
2775;7d4d;3d9c5d;as;js
2780;jhqh;jdts5c;;
2784;jdqd;;;
2802;4s3s;;;
2805;7c3c;;;
2810;7sjs;qh2hkh;2s;4h
2818;8c6c;;;
2822;qc7c;3d5h3c;as;jc
2823;2ctc;;;
2845;7dad;;;
2847;7cjc;4sasqh;3s;qd
2848;qh2h;ts2c8h;3c;tc
2853;qc6c;3h6sjd;;
2874;kc9c;;;
2878;th7h;qskcks;kd;3c
2884;js5s;;;
2888;ksqs;7d8d2h;6c;7c
2894;8cjc;;;
2908;4dad;;;
2912;9hth;;;
2916;td4d;;;
2918;6h4h;kckd8c;6d;3d
2921;6s4s;5c2hts;6h;2c
2930;qhjh;;;
2943;4hah;jc3d9h;3c;
2946;qctc;;;
2948;2s8s;kcahqd;qs;ts
2952;9s4s;;;
2963;jc5c;5hqh9c;;
2973;7sas;;;
2981;3hth;7s3d9c;8h;
2986;jd4d;;;
2989;7sqs;tsasqc;;
2994;7c6c;tc8h4d;;
2995;tc7c;js6cqs;9d;5c
2996;3s7s;5s3cad;9h;3d
3005;9hkh;3h5h7s;7c;5c
3007;8s4s;js5c4c;;
3030;kh4h;4sjcjh;6c;ts
3033;3h4h;;;
3038;5d8d;9d4h6c;;
3039;8cqc;;;
3049;th6h;tdqhac;ah;3d
3058;qh7h;2cks7d;4h;5c
3062;td8d;;;
3067;4dtd;;;
3072;3s4s;;;
3086;5hth;;;
3095;8s7s;3s6sjh;;
3099;5c4c;4dksqc;4s;
3104;tc4c;;;
3111;ad8d;;;
3114;6d4d;8ckdkh;jc;as
3119;2d5d;2s5hjh;6c;9d
3121;kcqc;;;
3124;adqd;;;
3129;9d8d;;;
3132;as7s;;;
3143;acjc;9sahad;;
3144;3h8h;8c7h9h;5s;9d
3150;9sjs;5cadkd;9d;ah
3176;2d6d;;;
3186;jd8d;4c7cqc;ks;8h
3206;3s7s;;;
3210;3dad;thah5s;2c;td
3218;kctc;;;
3222;3cjc;;;
3228;8hqh;3c5d9d;;
3230;9sas;;;
3232;8ckc;;;
3250;2s3s;;;
3258;3sks;4stc5d;;
3262;9h2h;;;
3265;8hah;ks4c8s;qc;9h
3272;jh6h;;;
3284;4sts;;;
3286;2dqd;tc4skh;4d;jd
3288;qs3s;6s3ckc;6h;th
3290;6sts;;;
3292;4hqh;;;
3306;8sts;3c6c7h;7s;
3310;8c4c;;;
3318;8s3s;2c3hts;5h;
3319;9sjs;6djcqd;4c;
3326;6d7d;;;
3327;4hkh;3d5c8c;kc;
3337;6h3h;;;
3358;4dtd;qd5cad;4h;8d
3377;4dkd;qd3d7d;;
3404;ac8c;;;
3419;8cqc;5sjs9c;3s;9h
3421;ah6h;9h3h4c;6s;5s
3444;td7d;ad2hjs;;
3446;8d6d;5cks3s;kc;
3456;8c2c;;;
3460;jc5c;qc2cad;9d;
3465;6h3h;;;
3476;kd5d;4stc9c;ah;3s
3477;5s2s;9s8c5d;tc;6h
3478;7hth;kh9h2s;3d;
3479;5cjc;;;
3494;7sjs;5sqdjd;;
3496;khth;3d5c5s;;
3497;5c8c;;;
3500;kc9c;6d9s4c;2s;
3501;2dqd;6dadjd;kd;qh
3512;7h4h;;;
3514;3s8s;8h7d5d;;
3516;qctc;qh9d8c;9h;
3519;ksts;js8c5s;;
3527;adtd;5cjsth;3h;7c
3533;kc3c;kh5c7c;qd;
3538;ah6h;khtsqd;6s;7s
3547;7hkh;jc3d4h;ac;
3553;3ctc;;;
3579;9sas;8hac9c;tc;
3584;6dqd;9s5dad;td;kh
3585;5c6c;8h7hjc;4s;
3587;jcac;kh8cts;3s;5h
3588;2hqh;7sqc3h;jh;
3596;4h7h;9cth6d;tc;qd
3598;5s2s;kd3h9h;7c;jh
