id;Pocket;Table;Turn;River
32620;tc2c;3c3s4c;qh;9c
32626;9hjh;kd4h5c;td;9c
32645;2d4d;qs9sas;8s;
32659;7d4d;ahqh3s;;
32663;2cac;;;
32665;jd3d;7d6s4c;2s;9c
32667;9d6d;6c3dqc;;
32679;9d3d;4htd2c;2s;
32695;jh8h;;;
32705;2s8s;jh4hkh;;
32727;ah9h;8ckhjc;th;qs
32755;6h9h;qhqc5c;;
32772;5c6c;7htc8c;;
32790;8c6c;2c3hqs;qh;5c
32811;8dkd;;;
32815;5c2c;8h3ctc;td;4s
32829;js4s;8sqdqh;;
32843;8djd;ahjh3h;6c;qs
32847;9d4d;;;
32852;qs6s;5c3dqh;jc;9c
32863;3hkh;4hqh2s;;
32864;8d9d;7d2dad;;
32879;2hth;;;
32883;8hah;7h4hkh;jd;7d
32885;4h3h;2sjh9h;qs;
32922;7d6d;8h5s5c;;
32927;ks2s;8h8cqh;3h;ah
32931;9c6c;;;
32957;5cjc;;;
32997;8hkh;8c8s3h;7d;as
33000;6ctc;;;
33010;kc4c;;;
33015;6d2d;;;
33046;9c4c;qh3s7h;;
33082;3s4s;tcqh4d;5s;td
33098;3s7s;9dkd2h;8h;4c
33116;jc7c;tc4hqc;2h;7s
33127;6sqs;2c2s9s;qh;6c
33144;ks9s;9hkdkc;kh;8d
33169;qh3h;4s8sqd;js;
33181;9c4c;7h5d5h;;
33185;4d3d;6djdts;;
33200;7cac;ksqc6c;;
33218;ks3s;tcacqh;qs;4c
33239;3h5h;5c3sad;;
33252;qcjc;7h3sqs;;
33259;kc2c;4cac3c;7h;
33260;qsts;;;
33262;3c4c;adkhtd;jh;as
33288;9s4s;4c4d3s;9d;qs
33290;6dad;8d5d7c;4h;
33302;jhkh;5dadqs;4d;
33319;4c2c;;;
33321;2h4h;kckdqd;;
33328;9s8s;qsth7d;;
33339;9cac;kd3c9h;7d;
33343;jdad;;;
33346;5c2c;qc7s9d;4h;3c
33351;kh5h;4hqhjs;8h;
33363;7h5h;;;
33382;tdqd;jcac8d;8s;3s
33402;7h8h;;;
33406;6cac;;;
33422;5h8h;;;
33450;9ctc;;;
33454;5ckc;ks8d5d;qs;ah
33482;js2s;3h8d6c;5s;
33484;9s7s;as7c7d;td;6s
33510;2cjc;;;
33516;jc8c;ts9cks;;
33527;9s8s;9c3h8d;jd;kd
33529;9c6c;6hqcac;;
33533;2s3s;6s4d3h;5s;qs
33538;4cac;;;
33540;th7h;4h7s6d;qh;4c
33549;ks4s;3hkc6h;9d;7d
33556;3s6s;;;
33615;kd8d;jh5cks;4h;5h
33629;5hqh;ac9h6h;;
33663;5dad;5c8sqc;qs;3c
33667;2d5d;;;
33670;5s4s;qs8s6h;ah;4h
33682;js8s;;;
33689;6d4d;4cjs5h;6c;
33691;6hah;ad2h4d;js;
33704;9ctc;5c3c7h;;
33715;jc6c;;;
33718;qs5s;7h3s4s;9s;jh
33724;jsqs;4s9h2s;jc;9s
33730;5d6d;ad2h3s;jd;ac
33736;5ctc;2s6cad;;
33751;2djd;4d4c2h;qh;ah
33758;jc9c;qhqc7h;4s;
33774;ah9h;kc3d8s;9d;5d
33791;tsqs;;;
33833;9sas;2stc8s;jd;3s
33849;8sas;kc4s6s;;
33864;jsks;5cjd6s;qs;kd
33868;2c7c;6c5d8c;as;
33870;ac2c;7s9h3s;;
33871;2h5h;qs9hkc;ah;
33883;5hqh;4d8dtd;;
33905;6sts;7c6d3h;ac;5s
33914;9sts;8dadjs;8c;8s
33941;jc2c;;;
33948;4d2d;qcas8d;8h;ad
33962;9d3d;4s5h5c;;
33971;td9d;5d2dqd;;
33973;ad4d;9d5stc;5d;2s
33996;ahth;kdjd5h;9h;ks
33997;ad8d;5d8c6s;td;7h
34002;8hqh;kdts4h;;
34006;7h6h;3c3d8c;;
34008;6c8c;5hks7d;kc;
34015;5sas;8c4h2h;;
34021;2d3d;;;
34042;7hkh;;;
34061;9sqs;qh8s7s;6d;
34064;js2s;;;
34069;7d9d;;;
34074;2sas;8h2d4h;qc;
34080;qh9h;6c8h7d;6s;9c
34087;kc3c;qsah5c;ks;5h
34093;qh9h;;;
34097;7sts;;;
34116;th7h;9h7c3s;4c;5d
34125;8sqs;;;
34138;3sts;5c6h7c;4c;8c
34171;qd8d;5d3dkc;ac;
34187;8h4h;;;
34191;9h4h;4c6d9c;ah;
34198;3hth;3d3s4h;9d;jd
34200;4hqh;9cth8s;ah;
34212;qh5h;qs4d6h;4h;jh
34214;9h8h;5h2s4h;;
34231;4h3h;;;
34235;2sqs;6s5sac;8c;tc
34244;as3s;;;
34249;9d6d;3d8c3c;js;
34268;7dad;;;
34283;4hkh;2djh2h;th;8d
34311;2c5c;;;
34340;9c8c;7s5hkd;qh;
34355;qhjh;;;
34357;tdkd;7cks9d;4s;6d
34362;5cqc;;;
34368;8hjh;;;
34378;4sjs;th7c2d;;
34379;as6s;9s5dad;2s;8s
34380;qsjs;;;
34399;qc2c;;;
34427;qc3c;;;
34455;jdkd;;;
34467;ackc;;;
34470;ts8s;;;
34485;8sts;;;
34492;khth;;;
34497;js9s;8dad6d;6s;jc
34503;9hah;qctcth;;
34504;qdjd;jhkc9s;;
34521;4sqs;6d2s5s;;
34525;9d2d;7s6cth;;
34535;5s6s;6c6h5c;8h;7d
34561;as2s;jd8c7c;qh;7h
34567;ks2s;jdqh5h;5d;8s
34568;5d2d;5s3sjd;ac;
34584;6c5c;;;
34586;jcqc;jd4hqs;kd;9s
34619;4s7s;6h9d2d;;
34629;6hqh;tc7hth;5s;
34657;6h9h;qdkhjc;8s;
34666;2d9d;;;
34699;kd8d;4had4d;jh;
34701;9d3d;4dasts;7s;
34743;6d4d;;;
34764;js7s;3skh2c;5d;4d
34775;5h9h;7hqsjh;9c;kh
34800;ks2s;6h7h4s;;
34806;9h4h;8h5h3c;jc;7h
34821;tc7c;;;
34840;7s4s;8djd2d;;
34869;6dqd;4s9dqc;ks;
34873;ks3s;js5s6c;qh;8h
34878;6cjc;ts4h6s;4c;9c
34887;ad5d;3sas9c;8c;kc
34902;qd7d;9s8skh;ah;ad
34904;4h3h;;;
34908;2s8s;5c6d8c;as;ad
34914;4h9h;3c2sqs;th;
34920;tdqd;qcad2d;4h;ts
34930;4h5h;4c5cqh;;
34960;9hqh;ah6d4d;;
34970;jctc;qhts7h;qs;
34982;qcjc;kh7c2h;;
34984;ahjh;4htckc;5d;
34992;8h2h;6sacjd;;
34996;ksjs;2h8djd;th;9s
35000;8dad;7d4h9s;qs;
35010;kcqc;jdas5c;3c;5d
35016;ad2d;ts5htc;9s;
35055;kh6h;4h5dkc;3h;qd
35056;thkh;qc6s9s;3d;ad
35060;6djd;tcasts;td;4h
35084;6d8d;3c8c4h;3h;4s
35123;kc3c;6d9cks;5h;th
35126;ksts;9d4hjc;kd;
35142;9hqh;2sjd4h;;
35145;qhah;;;
35171;ac5c;6c5s8h;5h;9s
35180;tckc;9sac7c;3c;
35183;kc2c;ks7dac;6d;4s
35194;2d6d;tc3c8s;;
35195;as6s;js5d9s;8h;
35200;ah5h;3s2s8s;2h;6h
35207;9cqc;tdac8c;;
35214;7hqh;4d2d7c;8h;3c
35244;thkh;9h5cac;;
35246;tdjd;3h7dkd;ac;4s
35257;qs7s;6h8cqd;9d;ad
35262;4cac;6saskh;6d;7s
35272;4c7c;qd7sjh;2s;
35283;9djd;2h9h7d;8d;th
35302;2hah;9s5s7h;5d;
35306;5sks;7s3c5c;6s;7h
35308;7h6h;8c9hac;5c;
35328;8d4d;th6s9s;;
35348;4cjc;3dkcad;6h;7d
35384;9dqd;4s2d8h;9s;3s
35386;tc3c;jh7sqc;8h;jc
35394;2c3c;ahtd7c;;
35396;7d6d;5d7sqs;3d;8h
35398;kh5h;askc8h;4c;3h
35402;2sts;9d4d2d;qc;
35417;6h7h;jhqhks;as;6s
35420;qd9d;7s4cah;8c;ac
35423;qd6d;3s4dtd;2c;
35436;kc2c;5h9has;4s;jc
35458;5c6c;6dkh4h;;
35462;2c8c;kc4hts;;
35468;6c7c;6h9hth;ad;jh
35470;4s3s;7ctdas;8c;
35488;ac3c;4d5hts;8s;js
35489;qhth;8ctd4d;9d;3c
35532;5hjh;6hkd4d;qs;
35535;8c9c;;;
35550;3hah;5h4h7h;td;ks
35554;3sks;jcqcas;5s;
35558;9cac;tsjs5c;9s;8d
35562;td6d;5sts4s;6c;kh
35596;kd8d;6h8h6d;qc;th
35616;7c3c;5sasah;4c;
35648;7sjs;3hqh5d;2d;6d
35650;6dqd;kd4s9s;5c;ac
35654;ackc;tsjs6c;;
35664;2s4s;td8sqd;4c;2c
35670;2hqh;5c7c8s;th;js
35675;9sts;ks3das;;
35685;ad3d;8d4sqd;;
35686;thjh;3s4sjc;4c;
35688;kh3h;3cas2d;2c;2s
35695;4hah;td7c7h;;
35699;5h7h;qh7s6s;3h;3d
35724;7h9h;7c7d8c;;
35747;4dkd;9stctd;qd;
35751;7d2d;4s8dts;;
35763;8hth;qsqckc;9d;
35776;jd5d;6d7s8h;8s;
35800;jd5d;7castc;;
35807;kc8c;7dad2c;;
35813;7h8h;qc7c5s;;
35816;tsjs;jd3hkc;5h;
35834;js4s;7dkd3s;5h;6s
35865;9hah;4skcjd;;
35880;6h2h;9d8d6d;6s;8s
35893;6s9s;jdqs2c;;
35894;3s6s;ts4c6d;ks;3h
35899;5sqs;6sqd4c;tc;
35917;ac5c;qd8c5s;9h;th
35951;9djd;6h7s4d;;
35967;jhth;7s2cqd;;
35981;qh5h;2h2s3h;ts;5s
35988;4h9h;8h9sjc;td;2c
35994;tsks;6s2s8d;;
36004;7djd;jc9s5c;3d;6d
36006;adkd;;;
36027;8hth;6s2d9d;;
36038;ad5d;jd9d6c;2s;8c
36045;6ctc;ks3h4d;2d;ts
36047;tc9c;7c3c3d;;
36057;jsks;jd8s7s;3s;3h
36075;5h4h;4s6cqd;;
36105;6h8h;2cqh9s;3c;
36109;2sqs;2h8d4h;jh;6c
36121;qhjh;;;
36123;2djd;th6h9c;;
36137;5h8h;4d5c7d;4s;
36144;ac3c;js8c2c;;
36171;7dtd;jh2sqd;;
36185;kh8h;;;
36199;3h8h;;;
36213;4sjs;;;
36227;9h6h;;;
36229;5s7s;;;
36233;6d8d;;;
36241;jc9c;;;
36252;ac2c;;;
36258;jc7c;5sah4d;8c;7d
36265;ah3h;8s2c7s;kd;
36270;9d7d;jsasjc;;
36287;ksts;;;
36293;3hth;;;
36299;jsts;5s2h9d;;
36301;3h2h;9h5h5d;7c;
36302;4d8d;6h7h7d;;
36314;5s9s;;;
36322;adqd;;;
36328;3dtd;;;
36341;9s6s;;;
36344;5hqh;;;
36347;qs9s;2s3c4d;jh;
36371;5h6h;;;
36401;4sts;;;
36414;2hah;;;
36429;8d7d;;;
36433;3cqc;;;
36441;8ckc;jd4s8h;2d;
36472;2d4d;;;
36481;kc6c;kdtc5s;8c;qh
36516;td4d;;;
36535;thkh;;;
36545;adjd;ah4sts;9d;3h
36553;qsts;;;
36556;td9d;qd6d5d;ts;2d
36557;5ckc;;;
36560;jhkh;;;
36597;5s6s;qcks2s;9c;5c
36603;2sjs;;;
36609;9h8h;;;
36617;9h7h;7s4sqs;7c;2d
36618;kdqd;;;
36650;8c7c;;;
36656;asqs;;;
36668;8ckc;3d6c8s;;
36669;7hjh;;;
36670;3sjs;;;
36687;ah8h;kdksas;8s;td
36695;tc6c;;;
36699;6dkd;;;
36722;adkd;4sacqd;;
36724;4d9d;;;
36729;5hth;;;
36736;ks4s;5s8h8s;th;
36737;qc7c;6c5dtc;;
36757;6s5s;;;
36784;8hjh;;;
36801;qsts;;;
36807;ah4h;;;
36811;9h3h;;;
36812;7s2s;;;
36819;qc3c;;;
36832;3c7c;;;
36838;tdjd;8cactc;;
36850;jhkh;;;
36869;8sqs;;;
36874;7d8d;;;
36877;khqh;;;
36880;7dkd;;;
36908;8cac;4hjckh;qh;5s
36920;6s2s;;;
36925;qd5d;;;
36931;4c6c;;;
36935;kc8c;;;
36947;js7s;jhkdtc;9c;5d
36948;9d5d;kc6cth;ts;qd
36951;ah3h;;;
36980;jckc;;;
36990;3c2c;;;
36993;js8s;;;
36994;acjc;;;
37026;asts;;;
37047;9h7h;;;
37052;4hth;;;
37066;4c5c;6c7c9s;;
37067;5hjh;;;
37083;7sqs;;;
37084;4s3s;khjs6s;qs;
37086;9d7d;;;
37107;5d4d;kh6s9h;4c;2s
37121;2hkh;ac7dqh;;
37122;kc4c;;;
37162;ad5d;;;
37170;tsqs;;;
37173;qc3c;;;
37181;qd6d;qckd9d;jh;9c
37185;qd2d;;;
37191;5dqd;;;
37207;9dtd;;;
37220;asts;;;
37224;4sjs;8ctd7c;;
37235;6d8d;5c9s7d;qd;
37244;5h2h;;;
37250;khah;;;
37257;3cqc;;;
37258;qsts;;;
37263;2s3s;;;
37279;js6s;;;
37282;5h2h;7s3c2d;6d;kc
37285;jhah;;;
37289;6s2s;;;
37309;9d4d;2s9cah;7h;
37310;9s5s;;;
37321;js9s;;;
37331;8h4h;;;
37339;6c8c;;;
37354;6hkh;7dqd3h;kd;4s
37356;5sqs;;;
37363;2d3d;;;
37372;3c9c;;;
37378;tcqc;6dth7d;;
37380;kc5c;2cqd2d;3d;qh
37396;3ckc;;;
37401;9h8h;;;
37418;qdkd;5dadqc;qh;3c
37449;kc8c;;;
37454;7d6d;9s4dkd;;
37463;qs8s;;;
37472;2sas;;;
37487;jdad;;;
37497;2sqs;4h7h8c;6h;
37509;tsks;;;
37514;kc2c;2sks9d;6d;qs
37519;qctc;5s3d6c;as;3s
37520;7sjs;;;
37537;9sqs;;;
37543;7h9h;;;
37546;kcqc;7s3hkd;;
37568;ts4s;8s6h5c;;
37571;qd2d;;;
37575;jh6h;;;
37588;2hqh;;;
37592;6s3s;;;
37602;tsks;;;
37632;2djd;;;
37635;4hqh;;;
37639;qcac;qskc3s;qd;7d
37669;adqd;;;
37677;9sts;;;
37679;9s4s;;;
37688;4h8h;;;
37697;3ckc;;;
37698;2d8d;;;
37704;qs9s;;;
37711;ac9c;;;
37714;kdad;;;
37734;9hqh;8hqd6h;;
37746;2dad;;;
37769;5s4s;;;
37777;9ctc;;;
37782;kh3h;;;
37788;5sks;9d2c5d;qh;6d
37800;6c8c;;;
37808;3cqc;kc5c9d;kd;
37830;2cqc;;;
37840;qckc;;;
37844;kh2h;5h6sks;5s;ah
37850;8s9s;2d8c4h;ah;kd
37870;9c2c;;;
37873;kc7c;;;
37895;thah;9d4h9h;;
37917;4d5d;;;
37931;3dkd;th2d7h;;
37932;3c6c;5c8h9d;;
37936;9h8h;;;
37957;9c5c;;;
37981;5s6s;;;
37983;ks4s;;;
37987;7cjc;5s9djd;qd;js
37993;6sts;tc2s8s;;
37998;4djd;8cjc7d;6d;3d
38005;js4s;4c2c7s;8d;4h
38009;jd6d;kc8dtd;tc;2h
38010;9c3c;7d4sqh;;
38012;8c5c;5sts9c;2c;ah
38030;4hah;;;
38041;kd2d;khtcah;2s;2c
38048;7dkd;9s2s7s;8h;6d
38058;thah;;;
38065;7ctc;8c9hjd;;
38069;8s9s;ts9d5s;6d;
38086;ts9s;as9cth;;
38091;qd4d;qh8cqs;;
38136;4c9c;6h7d4s;6s;qd
38148;qckc;jcas6h;;
38156;5s9s;7cthas;;
38173;5h7h;4c6cah;;
38184;qd3d;6h5hth;3c;as
38185;ad5d;jskd2d;3h;
38199;tc3c;adjdtd;ah;
38259;3c5c;2h5djc;kc;kh
38271;3sas;qstdth;;
38284;kc3c;5c9c6h;;
38293;qs5s;7h6c7s;td;ah
38297;4sqs;jc9c8c;tc;jh
38310;7h8h;7sqh8c;4h;9c
38317;5c6c;8cahqd;;
38321;adqd;ks8s2d;;
38337;8s6s;qd8cad;6d;3d
38339;7hkh;qh9sth;;
38353;acqc;7s7h6c;tc;4s
38362;jcac;2cah7c;2d;
38373;2d7d;3h7c6s;2s;jc
38375;3cqc;jd4s7s;;
38382;7d6d;td4dah;4c;8s
38388;4sqs;8s7c8d;;
38410;tcac;9s8hqd;;
38415;ac9c;8castd;;
38418;3d2d;4d2hqd;7c;th
38420;jhth;ad6s3d;;
38422;2c9c;jc8cth;5d;ks
38440;3dkd;;;
38482;7h5h;6c5c9d;jh;5d
38494;qcjc;thkd8s;ks;6d
38512;8s9s;kc4h7h;7c;ad
38516;kc2c;8d3sqd;ad;kh
38550;5h3h;;;
38551;3s7s;4c5s8s;4s;
38553;qc8c;3dac9s;3h;
38564;js7s;adks9s;;
38568;qd8d;ts5hjc;jh;tc
38578;4h8h;;;
38586;kc9c;;;
38597;4s5s;2sjs8s;;
38609;2cac;8s6cah;jh;tc
38617;3hah;th7hkd;8s;ad
38628;7cjc;;;
38647;6h9h;7d2c5h;kc;
38662;5h2h;jdks6s;6d;4s
38671;kcqc;;;
38688;ts4s;;;
38709;kc4c;jdjcks;6d;2d
38746;ac6c;;;
38748;3h6h;2hqsqh;jc;kh
38749;8cac;9cas3c;ts;2h
38751;3sqs;jh8hts;ah;
38782;5hqh;7d7cjh;kh;jd
38804;ac2c;9hqhad;6d;js
38828;kd3d;ahjs2d;9s;
38838;tc7c;;;
38843;2s5s;ac4d8h;ts;
38852;7d8d;;;
38853;js9s;ksas2c;4d;5d
38862;4cqc;8c6h5d;;
38873;2dkd;jdtd6h;6s;3c
38886;9s5s;;;
38916;2c5c;qd6stc;;
38918;qc3c;jh5d3d;5h;
38934;jc3c;qhjh8c;9d;7h
38938;adkd;;;
38975;asqs;;;
38981;3c2c;jctd8d;5s;6d
38986;6dad;;;
38991;kdjd;;;
38998;6ckc;5std7d;4h;
39024;6h7h;;;
39025;6s5s;ac6h6d;;
39028;9d3d;;;
39030;9h4h;ah3d2c;7c;6h
39034;3ckc;5s7sqs;;
39052;asjs;4d8s3c;6c;9h
39062;2c3c;9dqckd;;
39086;2c6c;;;
39124;ah8h;;;
39128;2h9h;;;
39132;js3s;;;
39134;3dqd;4dqc9d;9s;jd
39138;qs8s;;;
39146;9sks;;;
39147;ah2h;5hjh8s;4d;2d
39156;9dqd;3sqskc;as;7s
39164;4ctc;;;
39174;qsjs;;;
39180;8dkd;;;
39196;tsas;;;
39205;5h2h;qh2s4h;;
39206;9d8d;;;
39208;as7s;6hts6c;;
39211;2dad;td8s2c;kh;6s
39234;jc4c;;;
39240;4hjh;;;
39254;9dqd;;;
39258;8s2s;;;
39260;kh9h;;;
39265;ts7s;ah3s2s;4h;4s
39279;9hjh;th2hts;8h;qh
39286;9s3s;;;
39296;3hjh;;;
39308;3cac;;;
39310;ksts;;;
39336;2sks;;;
39358;7ctc;;;
39360;asts;;;
39363;7c8c;9cas5s;4s;3d
39398;kh8h;jdqd7d;;
39400;2dkd;;;
39418;7s4s;;;
39430;2s5s;;;
39448;6dtd;;;
39449;ac2c;3s2d2s;6c;as
39458;qcjc;8c9s3c;qd;2c
39462;tc5c;4h7dah;;
39465;6c9c;8sqc3c;;
39470;9sas;;;
39474;jd2d;jsas3h;qs;ac
39496;7hjh;;;
39498;7hjh;;;
39502;2sks;;;
39525;7c9c;;;
39528;ah8h;3s6htc;qd;js
39551;8c3c;;;
39577;6h7h;;;
39583;4cac;qc6s9s;;
39589;9sas;3c4h6c;;
39603;4s7s;2c8s4c;7h;kh
39619;3s2s;ks3h2d;6s;9c
39621;ad3d;6hkd7s;5s;
39656;ac7c;ad5hqs;8h;
39657;8c6c;9cqsks;5h;
39663;qsts;actc4s;;
39665;ac6c;9dtdah;7h;
39671;5s3s;7sth8d;;
39673;td2d;ad7c9h;3c;8h
39674;ksjs;;;
39683;as3s;5s7d6s;2c;2d
39695;ks7s;2dkh4c;jd;6h
39709;adkd;js4s2s;;
39739;jsqs;9htd9d;5s;
39743;4s8s;5hqc9h;6s;
39746;7s3s;2s5d4c;kc;4d
39762;5s4s;3hkc6s;;
39770;jc5c;tcksqc;8h;8s
39773;9h8h;ac8dad;ks;td
39805;ks3s;4c8d6c;;
39811;4h9h;3s7hkd;;
39851;jd5d;2c8s2d;;
39853;7c3c;qd8c7h;4d;6d
39855;3hth;9s8c7h;6c;2c
39863;6h9h;8dqc4d;;
39865;qd4d;2hqs3h;jc;th
39869;tc5c;;;
39872;qs6s;2hjh7c;kc;
39886;9c3c;7h6s2h;;
39888;adtd;2hks6c;;
39891;jc2c;6ctc5d;2s;4h
39925;7dad;2h3dkd;td;7h
39937;th2h;4s6h6c;;
39952;8c9c;3h9s7h;2d;4c
39969;8c6c;3s9s4d;;
39971;ac3c;8d7d3s;kd;
39989;6s5s;3dts7c;2h;
39999;8ctc;ts5h5c;3c;kh
40024;jcac;jsjd5h;as;ah
40029;5sts;2d4s9s;2c;9c
40031;9ckc;7d2c3c;tc;4s
40049;7dad;kd8sjh;as;2c
40055;js9s;4sthah;;
40077;7c6c;qhac7s;;
40084;4sqs;7s4dqd;;
40088;2djd;9hjc4c;8d;6s
40095;jh6h;ts8c2s;3s;
40098;tc6c;3h6hts;qs;kc
40111;jd5d;kc9h2h;;
40141;th2h;qs9dqd;;
40145;qd2d;7c6d5h;;
40155;7d5d;6d6cac;;
40187;9ckc;asthqc;;
40188;as2s;qs6sac;4h;4c
40207;9sas;ts8s9c;qs;2d
40219;9ctc;8c3d4h;7s;5s
40235;ad3d;jc9d8h;;
40245;ah6h;3dks9d;;
40247;asjs;;;
40259;5ctc;9cqh2h;;
40263;tc7c;8s8d3c;;
40271;ad9d;td6cas;8s;qh
40275;9sjs;3dqd3s;4d;
40278;ksjs;;;
40281;9h7h;;;
40297;8sts;asqstc;kd;8c
40303;9h7h;4skd4d;;
40320;jdad;;;
40329;3h9h;8h7dkc;;
40334;9c2c;acah8c;qs;
40339;8djd;4d5s2d;3h;
40348;4s5s;2s4c5d;;
40369;2sjs;2cjd4s;qc;
40371;ac2c;5h5c8h;7h;
40374;jdqd;;;
40383;tsks;6s6h2c;th;8c
40397;qdjd;9c4sqs;6s;qc
40409;tdad;4c3d2d;as;
40423;8sks;5c7std;4d;
40445;kh7h;ts8c3c;;
40449;3d5d;jh7d9h;;
40457;3dad;2c7h2h;;
40493;8c5c;4cjd5s;qs;th
40512;qd9d;6d8d5h;ks;th
40539;kd6d;8c5cjc;;
40545;ts3s;9h3ctc;7d;2s
40546;7cjc;9s6c8c;kd;
40549;6sas;8h8dkd;;
40561;ks3s;7h7dqc;;
40587;2ckc;7sqs7d;;
40597;js7s;4d5ckd;qd;
40598;2c4c;jc8h6c;qd;th
40600;qh5h;3hkh8s;;
40603;7c8c;qh6cks;;
40605;8hjh;kctsjs;6d;7c
40633;2s4s;askc8s;3c;qc
40637;7hjh;8cqckd;th;4d
40639;4hkh;8d3cac;;
40669;ahkh;5c7c4s;;
40671;3s2s;kc9h2h;as;ac
40675;6s7s;5s3cts;jc;6h
40679;8sjs;2djc4s;ks;
40692;khqh;;;
40712;5s4s;4c4hkc;;
40719;ksqs;tcjh9h;;
40722;3dad;as6h3h;;
40772;qsas;;;
40773;4c8c;ksqc8d;4h;kh
40789;2s3s;4c7d8c;;
40805;9c8c;kdad7d;;
40809;7c4c;6c3s9c;;
40819;9sas;7d3hqs;9d;tc
40854;qd5d;7s2htc;;
40861;qc4c;4d2hqh;;
40880;9s2s;ts8cth;;
40888;js2s;kc4d3c;;
40894;ts2s;7d5djs;;
40900;kctc;3sjs8d;;
40902;qh2h;3h9dah;7c;4s
40908;js9s;jh6c8d;;
40918;7h5h;as3c3d;;
40942;9hth;5h8c6d;3s;
40944;4hah;tcac9h;jc;2d
40946;6sjs;jd9c8c;;
40948;2h4h;3s5dts;7d;
40952;tc7c;7hah4d;6d;kc
40970;3dkd;9d2cac;3s;
40978;qc6c;2s9sah;;
40982;6d9d;9sjh9h;8h;3c
40986;ah7h;;;
40992;3d4d;td2dth;5h;4c
40998;5c8c;9djdas;;
41038;tc5c;8dkcqh;;
41053;3s5s;qs2s7h;ad;3h
41100;jh8h;adksqd;;
41114;ts8s;jhtcad;;
41117;3s4s;2s9dts;;
41120;4c7c;jd8cah;;
41144;5sts;jd6stc;qh;ks
41146;7dad;8cqdqs;;
41177;6s8s;6djh8d;;
41192;6s7s;4d5s5h;9d;7c
41196;ahkh;thas3c;;
41198;qcac;ksth4d;;
41230;8c7c;astcks;5c;8s
41283;qs8s;qcasah;6s;
41286;2dad;5s6d8c;;
41296;kdtd;4skc3h;th;js
41302;3hah;7dksth;;
41307;8ckc;2h2c6c;2s;
41308;8hkh;jc2c4d;;
41342;td8d;7h3d9s;kc;8s
41347;qh5h;qsks7d;jh;ac
41361;9hkh;4has5s;td;4d
41372;5s4s;6s7c3c;;
41395;as9s;khksqc;;
41401;jc7c;7s2s2c;th;5h
41437;7hah;td7d3c;5s;2d
41438;3h4h;ksahac;3s;
41444;td3d;2sahjs;;
41445;7c2c;7stcac;3h;4s
41469;3djd;jhqdjc;qh;2d
41496;7s3s;ts3c4s;js;2h
41512;adkd;;;
41516;jd5d;9c2sqd;ks;
41548;qh2h;jc9d7s;;
41552;5sqs;4s5d7h;qd;
41575;4sas;ad2hkd;kh;qd
41587;9s7s;;;
41601;8s7s;;;
41615;qc3c;9hjsah;;
41622;3s7s;as6ckh;;
41624;td7d;adackd;6s;jc
41627;7h4h;qdqc3d;;
41629;qs2s;qh7s6c;7d;8d
41663;9c2c;7h3sac;;
41676;6h8h;;;
41699;2dkd;5skc4s;9c;ah
41723;4d3d;3h8ckd;3c;as
41736;4hjh;4djd9s;qh;
41738;9dqd;6c3sqc;4h;ad
41746;ac2c;4dah2d;6d;
41765;9c4c;9d6c2s;6h;
41791;qh3h;3cqsks;8h;9h
41806;jhqh;ah5skc;6s;5c
41815;asts;jc3dqd;;
41819;4h5h;2s3s3d;kc;2c
41820;qd3d;6h2hqc;2s;5d
41824;7c3c;2ctc5h;;
41827;3h7h;thad4d;;
41849;kcjc;2sas7c;ts;7h
41889;8ckc;3djdad;6s;6c
41893;3dkd;js5h9c;;
41904;6d7d;ad7h2d;ac;8s
41908;4c8c;ts3c5c;4d;6c
41921;6cqc;qhth3c;8h;
41928;3hkh;tcahqh;4c;as
41942;9d2d;2h4c9c;3h;kc
41945;4s8s;6sjsjh;9s;ks
41953;2cac;ks8s6d;;
41956;ah9h;jsas3s;3c;3d
41969;qc9c;6sac2d;;
41975;5s3s;3d3cth;;
41984;tc5c;6d8ctd;kh;ac
41998;5c2c;as9s4c;;
42004;kc6c;8s5cqc;;
42013;8hth;7hqh4c;kc;9h
42034;ac8c;7hah6h;2s;
42042;ac4c;;;
42046;adqd;4c6sks;;
42058;5s3s;th8sac;7s;td
42067;qs7s;4cqhts;ad;jh
42072;kctc;qcqs2s;;
42074;8s7s;as6s5h;4s;kc
42106;tc4c;kdjh5c;;
42115;7s8s;7dqc3s;8h;2c
42131;5c9c;2c5stc;;
42132;tdkd;th3hts;;
42182;jd6d;4cqdqc;8h;kd
42219;jh7h;5djc4c;tc;qd
42227;4s9s;jsac7d;;
42230;7s5s;qs8s9c;kd;
42240;6s5s;8cacah;;
42257;ahkh;;;
42263;8d7d;9h2s7s;kc;4d
42274;8h6h;ad5c9s;7c;6d
42297;jhqh;qs2d5s;7h;3c
42303;kc4c;6d7h9c;;
42312;6s5s;2c4s4h;2h;6d
42322;3hth;js6c9h;;
42346;5hth;2h7c7d;jc;3s
42350;ksas;8s3cac;;
42362;8hjh;qdacqs;6c;
42367;8h5h;;;
42388;5h6h;tc8d9d;;
42410;qh4h;qd6h8c;;
42412;asqs;qd2hkc;;
42423;9h2h;;;
42426;2hjh;;;
42427;7h8h;9had6s;;
42430;9h5h;5c8h4c;js;kc
42432;9s6s;;;
42443;4h8h;7d5had;3h;2d
42481;td4d;5d9djs;8c;9c
42509;7cjc;;;
42542;4h2h;3c3djh;;
42549;4s9s;asad7d;;
42568;tdjd;;;
