id;Pocket;Table;Turn;River;proba_win_preflop;proba_draw_preflop;best_hand_flop;checker_flop;proba_win_flop;proba_draw_flop;best_hand_turn;checker_turn;proba_win_turn;proba_draw_turn;best_hand_river;checker_river;proba_win_river;proba_draw_river
311;kc6c;5dqs2s;2h;4d;0.54838;0.03627;HIGH_CARD;0.0;0.3903;0.02055;ONE_PAIR;1.0;0.40553359683794465;0.054655248133509006;ONE_PAIR;1.0;0.3151515151515151;0.00909090909090909
318;6h9h;;;;0.45196;0.04535;;;;;;;;;;;;
325;tc5c;;;;0.44696;0.04631;;;;;;;;;;;;
343;4sjs;7s5c4d;qh;6d;0.47125;0.04391;ONE_PAIR;0.5;0.52465;0.03305;ONE_PAIR;0.5;0.5167764602547211;0.012121212121212121;ONE_PAIR;0.5;0.25252525252525254;0.006060606060606061
348;4hjh;9hjc2c;6s;;0.47125;0.04391;ONE_PAIR;0.5;0.75015;0.0239;ONE_PAIR;0.5;0.6817083882301274;0.02518664909969258;;;;
352;tc8c;9cjdqc;;;0.50708;0.03643;STRAIGHT;0.6;0.9077;0.0445;;;;;;;;
374;ts3s;td2d7c;;;0.43302;0.04569;ONE_PAIR;0.5;0.72505;0.0236;;;;;;;;
375;ad6d;;;;0.58129;0.03502;;;;;;;;;;;;
377;jh2h;;;;0.45067;0.04313;;;;;;;;;;;;
398;ts6s;;;;0.46624;0.04296;;;;;;;;;;;;
408;8s4s;;;;0.39993;0.05062;;;;;;;;;;;;
415;kc4c;2h9has;;;0.5325;0.03947;HIGH_CARD;1.0;0.41245;0.04435;;;;;;;;
416;7ctc;2c5h3d;;;0.48267;0.0397;HIGH_CARD;0.0;0.2847;0.02195;;;;;;;;
420;2sas;4dac4h;6h;;0.55423;0.03725;TWO_PAIR;0.75;0.81635;0.05025;TWO_PAIR;0.75;0.33522178304787;0.03847167325428195;;;;
437;8s2s;;;;0.37613;0.05124;;;;;;;;;;;;
447;7c2c;js2s9c;8s;;0.35655;0.05384;ONE_PAIR;0.5;0.52975;0.0322;ONE_PAIR;0.5;0.3238471673254282;0.03768115942028986;;;;
450;6sas;th9s6h;qh;;0.58129;0.03502;ONE_PAIR;0.5;0.59565;0.01965;ONE_PAIR;0.5;0.4681598594642073;0.005401844532279315;;;;
461;5dqd;;;;0.50507;0.03984;;;;;;;;;;;;
465;4hqh;;;;0.49723;0.04183;;;;;;;;;;;;
466;4d2d;kdqcah;3d;7s;0.33937;0.05801;HIGH_CARD;1.0;0.1623;0.15205;HIGH_CARD;1.0;0.3564997804128239;0.046442687747035576;HIGH_CARD;1.0;0.0;0.00909090909090909
